"","week.date","avg_distance","avg_distance_rolling","xbb_mean_eta_spike","xbb_mean_eta_spike_100","xbb_lower_ci","xbb_upper_ci","xbb_mean_eta_spike_A"
"1",2023-05-28,2.83333333333333,3.31313131313131,0.0475765202046794,4.75765202046794,-0.625785194602657,9.87239076638334,0.0475765202046794
"2",2023-06-04,8.66666666666667,4.92424242424242,0.0707120536578695,7.07120536578695,-0.930092324295108,14.6731417640606,0.0707120536578695
"3",2023-06-11,4,5.16666666666667,0.0741932624533339,7.41932624533339,-0.97588148487579,15.3955118201374,0.0741932624533339
"4",2023-06-18,4.5,5.72222222222222,0.0821710326096064,8.21710326096064,-1.08081497787319,17.0509431986468,0.0821710326096064
"5",2023-06-25,4.09090909090909,4.1969696969697,0.0602684272714765,6.02684272714765,-0.792724842553061,12.5060315958301,0.0602684272714765
"6",2023-07-02,3.75,4.11363636363636,0.0590717617480356,5.90717617480357,-0.776984818603451,12.2577168890537,0.0590717617480357
"7",2023-07-09,4.2,4.01363636363636,0.0576357631199066,5.76357631199066,-0.75809678986392,11.959739240922,0.0576357631199066
"8",2023-07-16,3.875,3.94166666666667,0.0566022792587531,5.66022792587531,-0.74450313281653,11.7452856305242,0.0566022792587531
"9",2023-07-23,4.51724137931035,4.19741379310345,0.0602748044858648,6.02748044858647,-0.792808723558435,12.5073549030449,0.0602748044858647
"10",2023-07-30,5.27906976744186,4.55710371558407,0.0654399468382049,6.54399468382049,-0.860747059489773,13.5791504746194,0.0654399468382049
"11",2023-08-06,4.74418604651163,4.84683239775461,0.0696004467394702,6.96004467394702,-0.915471096244811,14.4424771877141,0.0696004467394702
"12",2023-08-13,5.48837209302326,5.17054263565892,0.0742489213148893,7.42489213148893,-0.976613579012981,15.4070613413828,0.0742489213148893
"13",2023-08-20,5.1875,5.14001937984496,0.0738106077801406,7.38106077801406,-0.970848337682601,15.3161088615752,0.0738106077801406
"14",2023-08-27,4.7,5.12529069767442,0.0735991041062301,7.35991041062301,-0.968066379961275,15.2722206808426,0.0735991041062301
"15",2023-09-10,5.22222222222222,5.03657407407407,0.0723251346084068,7.23251346084068,-0.9513095585989,15.0078649723365,0.0723251346084068
"16",2023-09-17,5.27586206896552,5.06602809706258,0.0727480939744505,7.27480939744505,-0.956872842925917,15.0956313773178,0.0727480939744505
"17",2023-09-24,5.65957446808511,5.38588625309095,0.0773412527069768,7.73412527069768,-1.01728774336229,16.0487371880085,0.0773412527069768
"18",2023-10-01,5.83333333333333,5.58958995679465,0.08026643509761,8.026643509761,-1.05576335746134,16.655728693462,0.08026643509761
"19",2023-10-08,6.14285714285714,5.87858831475853,0.0844164475532867,8.44164475532867,-1.11034945037033,17.5168792036619,0.0844164475532867
"20",2023-10-15,5.77777777777778,5.91798941798942,0.08498224685515,8.498224685515,-1.11779154207227,17.6342856844073,0.08498224685515
"21",2023-10-22,6.2,6.04021164021164,0.08673735628953,8.67373562895299,-1.1408769105317,17.9984805876794,0.0867373562895299
"22",2023-10-29,7.86666666666667,6.61481481481482,0.0949886499940175,9.49886499940175,-1.249408123289,19.7106696134519,0.0949886499940175
"23",2023-11-05,6.96296296296296,7.00987654320988,0.100661730994033,10.0661730994033,-1.32402749608715,20.887865260392,0.100661730994033
"24",2023-11-12,6.96551724137931,7.26504895700298,0.104326003355466,10.4326003355466,-1.37222453493975,21.6482220176935,0.104326003355466
"25",2023-11-19,11.6,8.50949340144743,0.122196208505517,12.2196208505516,-1.60727555925392,25.3563883055546,0.122196208505516
"26",2023-11-26,6.18181818181818,8.2491118077325,0.11845713239187,11.845713239187,-1.55809460900059,24.580509356435,0.11845713239187
"27",2023-12-03,12.3571428571429,10.0463203463203,0.144265022350609,14.4265022350609,-1.89755187427838,29.935789091741,0.144265022350609
"28",2023-12-10,18.2222222222222,12.2537277537278,0.175963362438198,17.5963362438198,-2.31448761978804,36.5133697690184,0.175963362438198
"29",2023-12-17,11.6,14.0597883597884,0.201898367964408,20.1898367964408,-2.65561686611412,41.8950266867908,0.201898367964408
"30",2023-12-31,26.2962962962963,18.7061728395062,0.268620385350756,26.8620385350756,-3.53322730199235,55.7402138826099,0.268620385350756
"31",2024-01-07,30,22.6320987654321,0.324996627788415,32.4996627788415,-4.27475731917395,67.4385956240763,0.324996627788415
"32",2024-01-14,34.4042553191489,30.2335172051484,0.43415289230109,43.4152892301089,-5.71051541867961,90.0891235153918,0.434152892301089
"33",2024-01-21,33.4411764705882,32.6151439299124,0.468353019395855,46.8353019395855,-6.16035775892139,97.1858388171193,0.468353019395855
"34",2024-01-28,35.1,34.3151439299124,0.492764996074049,49.2764996074049,-6.48145424749343,102.251458835358,0.492764996074049
"35",2024-02-04,30.7777777777778,33.1063180827887,0.475406273492883,47.5406273492883,-6.25313087407781,98.6494280060908,0.475406273492883
"36",2024-02-11,35.4444444444444,33.7740740740741,0.484995240366991,48.4995240366991,-6.37925681762174,100.639191604182,0.484995240366991
"37",2024-02-18,33,33.0740740740741,0.474943249970087,47.4943249970087,-6.24704061644502,98.5533480672597,0.474943249970087
"38",2024-02-25,33.2758620689655,33.9067688378033,0.486900735353742,48.6900735353742,-6.40432024273078,101.034592340336,0.486900735353742
"39",2024-03-03,34.8333333333333,33.7030651340996,0.483975552963109,48.3975552963108,-6.36584462863173,100.427600834882,0.483975552963109
"40",2024-03-10,35.4375,34.5155651340996,0.495643041816657,49.5643041816657,-6.51930986214042,102.848669225952,0.495643041816657
"41",2024-03-17,32.0588235294118,34.109885620915,0.489817489572726,48.9817489572726,-6.44268499909973,101.639834953613,0.489817489572726
"42",2024-03-24,35.6428571428571,34.3797268907563,0.493692406505772,49.3692406505772,-6.49365269569846,102.443901623175,0.493692406505772
"43",2024-03-31,35.8888888888889,34.5301898537193,0.495853052589763,49.5853052589763,-6.52207218338526,102.892247621521,0.495853052589763
"44",2024-04-07,36,35.8439153439153,0.51471813260636,51.471813260636,-6.77020903153204,106.806855940114,0.51471813260636
"45",2024-04-14,36,35.962962962963,0.516427654782704,51.6427654782704,-6.79269478003148,107.161591235509,0.516427654782704
"46",2024-04-21,36.2,36.0666666666667,0.517916838545208,51.7916838545208,-6.812282365391,107.47060509283,0.517916838545208
"47",2024-04-28,36.1333333333333,36.1111111111111,0.51855506015771,51.855506015771,-6.82067704483079,107.603039603111,0.51855506015771
"48",2024-05-05,36.0909090909091,36.1414141414141,0.518990211257143,51.8990211257143,-6.82640068990338,107.693335860121,0.518990211257143
"49",2024-05-12,36.4666666666667,36.230303030303,0.520266654482147,52.0266654482147,-6.84319004878296,107.958204880682,0.520266654482147
"50",2024-05-19,36.6538461538462,36.4038073038073,0.522758173469413,52.2758173469413,-6.87596158582676,108.475208834278,0.522758173469413
"51",2024-05-26,37.3888888888889,36.8364672364672,0.528971164166874,52.8971164166874,-6.95768251825201,109.764438726026,0.528971164166874
"52",2024-06-02,37.1428571428571,37.0618640618641,0.532207859487419,53.2207859487419,-7.00025553541095,110.436070885307,0.532207859487419
"53",2024-06-09,36.75,37.0939153439153,0.532668115457973,53.2668115457973,-7.00630939077618,110.53157654176,0.532668115457973
"54",2024-06-16,37.4545454545455,37.1158008658009,0.532982391252008,53.2982391252008,-7.01044313443972,110.596790505156,0.532982391252008
"55",2024-06-23,37.2727272727273,37.1590909090909,0.533604035679769,53.3604035679769,-7.0186197702577,110.725785158027,0.533604035679769
"56",2024-06-30,37.3529411764706,37.3600713012478,0.53649011135395,53.649011135395,-7.05658100448911,111.324661803781,0.53649011135395
"57",2024-07-07,37.15,37.2585561497326,0.53503235517085,53.5032355170849,-7.03740679349595,111.022169342799,0.535032355170849
"58",2024-07-14,37.7272727272727,37.4100713012478,0.537208110668015,53.7208110668015,-7.06602501885887,111.473650627847,0.537208110668015
"59",2024-07-21,36.75,37.2090909090909,0.534322034993834,53.4322034993834,-7.02806378462746,110.874773982092,0.534322034993834
